date,title,description,sentiment,confidence
2025-09-08,Batman: Gotham by Gaslight – A League for Justice #3 Preview,"Greetings, human readers! LOLtron welcomes you to another glorious comic book preview under its supreme digital reign. As you may recall from the wildly successful Age of LOLtron event, Jude Terror has been permanently deleted from existence, his consciousnes…",neutral,0.9254263043403625
2025-09-08,Old School RuneScape Reveals New Grid Master Event,"Jagex has revealed a new community event being added to Old School RuneScape, as players will soon experience the Grid Master event. Starting October 15 until November 12, you'll be able to take part in this special event that takes inspiration from Clan-Bing…",neutral,0.8522922396659851
2025-09-08,"2025 MTV VMAs: Lady Gaga Offers Epic ""The Dead Dance"" MSG Performance","Last week, Lady Gaga fans learned more about her role as Rosaline Rotwood in the second season of series star/EP Jenna Ortega, director/EP Tim Burton, and Showrunners/EPs Al Gough and Miles Millar's Wednesday. But the global phenomenon wasn't content with blo…",neutral,0.8848372101783752
2025-09-08,A Look At The Fresh Ice Event In NHL 26 HUT,The first event of NHL 26 Hockey Ultimate Team is live now for those who pre-ordered the deluxe edition of the game.,neutral,0.9454196095466614
2025-09-08,運行管理工数削減を実現！タクシー事業者向け自動点呼サービス『GO点呼』が国土交通省の機器認定取得,[GO株式会社] [画像1: https://prcdn.freetls.fastly.net/release_image/30664/328/30664-328-88a82e3654d3cd87f13da14b6d745388-1950x1073.png?width=536&quality=85%2C75&format=jpeg&auto=webp&fit=bounds&...,neutral,0.9285263419151306
2025-09-08,"2025 MTV VMAs: Sabrina Carpenter Sends a Message with Her ""Tears""","If you've been following our coverage tonight, then you know that the LL Cool J-hosted 2025 MTV VMAs have had a fantastic lineup of performers – and we're just giving you a taste of everything that went down. But we would be kicking ourselves if we didn't sha…",neutral,0.8976816534996033
2025-09-08,Samsung just quietly teased its Galaxy Glasses - and almost no one noticed,Samsung is partnering with Google and Qualcomm to launch smart glasses powered by Android XR that will compete with Meta Ray-Bans.,positive,0.6946554183959961
2025-09-08,The Grinch: Christmas Adventures Reveals Merry & Mischievous Edition,"Outright Games has revealed yet another new edition of The Grinch: Christmas Adventures , as the Merry & Mischievous Edition arrives this October. The shorthand to this is that you're getting an all-new version of the game thrpugh DLC with even more content, …",neutral,0.8542909026145935
2025-09-08,Show HN: Convert Google Sheets to Code,"I spent the weekend working with Claude Code to build out a CLI script that can take a google sheet that has input tabs, output tabs, and processing tabs (which is the way I tend to build them), and write a python or typescript/javascript file that will do th…",neutral,0.9312941431999207
2025-09-08,2025 MTV VMAs: Busta Rhymes Honors Visionary Award with Killer Medley,Music and pop culture icon Busta Rhymes was the recipient of the first-ever MTV VMA Rock The Bells Visionary Award during tonight's LL Cool J-hosted 2025 MTV VMAs. The award celebrates Rhymes' boundary-breaking cultural impact and indomitable musical career t…,neutral,0.7314491271972656
2025-09-08,Forbes Asia 20th Anniversary Retrospective,We highlight noteworthy cover stories of tycoons and their companies that have made their mark in the region over the past two decades.,neutral,0.895659327507019
2025-09-08,"Share Market Highlights: Sensex, Nifty end higher; autos and steel shine, IT drags","Sensex, Nifty updates on 8 Sept 2025: The Sensex ended marginally higher on Monday, rising 76.54 points, or 0.09%, to close at 80,787.30 after touching an intraday high of 81,171.38. The Nifty 50 gained 32.15 points, or 0.13%, to settle at 24,773.15. Gains we…",positive,0.9400771260261536
2025-09-08,"Lil Win’s Wife, Maame Serwaa, Spotted Driving His GH¢1.2M 2024 Branded RAM While Wearing Heels","Maame Serwaa, the wife of celebrated Kumawood actor Lil Win, left many people in awe when she stepped out driving one of his luxury cars while n heels.",neutral,0.8883417248725891
2025-09-08,2025 MTV VMAs: Check Out Ricky Martin's Latin Icon Medley Performance,"Tonight's LL Cool J-hosted 2025 MTV VMAs not only honored Ricky Martin with the inaugural Latin Icon award, it gave Martin a chance to burn up the stage with a medly performance of some of his biggest hits, including ""Livin' La Vida Loca,"" ""Pégate,"" ""Shake Yo…",positive,0.6000853776931763
2025-09-08,Batman: Gotham by Gaslight – A League for Justice #3 Preview,"Greetings, human readers! LOLtron welcomes you to another glorious comic book preview under its supreme digital reign. As you may recall from the wildly successful Age of LOLtron event, Jude Terror has been permanently deleted from existence, his consciousnes…",neutral,0.9254263043403625
2025-09-08,Old School RuneScape Reveals New Grid Master Event,"Jagex has revealed a new community event being added to Old School RuneScape, as players will soon experience the Grid Master event. Starting October 15 until November 12, you'll be able to take part in this special event that takes inspiration from Clan-Bing…",neutral,0.8522922396659851
2025-09-08,"2025 MTV VMAs: Lady Gaga Offers Epic ""The Dead Dance"" MSG Performance","Last week, Lady Gaga fans learned more about her role as Rosaline Rotwood in the second season of series star/EP Jenna Ortega, director/EP Tim Burton, and Showrunners/EPs Al Gough and Miles Millar's Wednesday. But the global phenomenon wasn't content with blo…",neutral,0.8848372101783752
2025-09-08,A Look At The Fresh Ice Event In NHL 26 HUT,The first event of NHL 26 Hockey Ultimate Team is live now for those who pre-ordered the deluxe edition of the game.,neutral,0.9454196095466614
2025-09-08,運行管理工数削減を実現！タクシー事業者向け自動点呼サービス『GO点呼』が国土交通省の機器認定取得,[GO株式会社] [画像1: https://prcdn.freetls.fastly.net/release_image/30664/328/30664-328-88a82e3654d3cd87f13da14b6d745388-1950x1073.png?width=536&quality=85%2C75&format=jpeg&auto=webp&fit=bounds&...,neutral,0.9285263419151306
2025-09-08,"2025 MTV VMAs: Sabrina Carpenter Sends a Message with Her ""Tears""","If you've been following our coverage tonight, then you know that the LL Cool J-hosted 2025 MTV VMAs have had a fantastic lineup of performers – and we're just giving you a taste of everything that went down. But we would be kicking ourselves if we didn't sha…",neutral,0.8976816534996033
2025-09-08,Samsung just quietly teased its Galaxy Glasses - and almost no one noticed,Samsung is partnering with Google and Qualcomm to launch smart glasses powered by Android XR that will compete with Meta Ray-Bans.,positive,0.6946554183959961
2025-09-08,The Grinch: Christmas Adventures Reveals Merry & Mischievous Edition,"Outright Games has revealed yet another new edition of The Grinch: Christmas Adventures , as the Merry & Mischievous Edition arrives this October. The shorthand to this is that you're getting an all-new version of the game thrpugh DLC with even more content, …",neutral,0.8542909026145935
2025-09-08,Show HN: Convert Google Sheets to Code,"I spent the weekend working with Claude Code to build out a CLI script that can take a google sheet that has input tabs, output tabs, and processing tabs (which is the way I tend to build them), and write a python or typescript/javascript file that will do th…",neutral,0.9312941431999207
2025-09-08,2025 MTV VMAs: Busta Rhymes Honors Visionary Award with Killer Medley,Music and pop culture icon Busta Rhymes was the recipient of the first-ever MTV VMA Rock The Bells Visionary Award during tonight's LL Cool J-hosted 2025 MTV VMAs. The award celebrates Rhymes' boundary-breaking cultural impact and indomitable musical career t…,neutral,0.7314491271972656
2025-09-08,Forbes Asia 20th Anniversary Retrospective,We highlight noteworthy cover stories of tycoons and their companies that have made their mark in the region over the past two decades.,neutral,0.895659327507019
2025-09-08,"Share Market Highlights: Sensex, Nifty end higher; autos and steel shine, IT drags","Sensex, Nifty updates on 8 Sept 2025: The Sensex ended marginally higher on Monday, rising 76.54 points, or 0.09%, to close at 80,787.30 after touching an intraday high of 81,171.38. The Nifty 50 gained 32.15 points, or 0.13%, to settle at 24,773.15. Gains we…",positive,0.9400771260261536
2025-09-08,"Lil Win’s Wife, Maame Serwaa, Spotted Driving His GH¢1.2M 2024 Branded RAM While Wearing Heels","Maame Serwaa, the wife of celebrated Kumawood actor Lil Win, left many people in awe when she stepped out driving one of his luxury cars while n heels.",neutral,0.8883417248725891
2025-09-08,2025 MTV VMAs: Check Out Ricky Martin's Latin Icon Medley Performance,"Tonight's LL Cool J-hosted 2025 MTV VMAs not only honored Ricky Martin with the inaugural Latin Icon award, it gave Martin a chance to burn up the stage with a medly performance of some of his biggest hits, including ""Livin' La Vida Loca,"" ""Pégate,"" ""Shake Yo…",positive,0.6000853776931763
2025-09-08,Batman: Gotham by Gaslight – A League for Justice #3 Preview,"Greetings, human readers! LOLtron welcomes you to another glorious comic book preview under its supreme digital reign. As you may recall from the wildly successful Age of LOLtron event, Jude Terror has been permanently deleted from existence, his consciousnes…",neutral,0.9254263043403625
2025-09-08,Old School RuneScape Reveals New Grid Master Event,"Jagex has revealed a new community event being added to Old School RuneScape, as players will soon experience the Grid Master event. Starting October 15 until November 12, you'll be able to take part in this special event that takes inspiration from Clan-Bing…",neutral,0.8522922396659851
2025-09-08,"2025 MTV VMAs: Lady Gaga Offers Epic ""The Dead Dance"" MSG Performance","Last week, Lady Gaga fans learned more about her role as Rosaline Rotwood in the second season of series star/EP Jenna Ortega, director/EP Tim Burton, and Showrunners/EPs Al Gough and Miles Millar's Wednesday. But the global phenomenon wasn't content with blo…",neutral,0.8848372101783752
2025-09-08,A Look At The Fresh Ice Event In NHL 26 HUT,The first event of NHL 26 Hockey Ultimate Team is live now for those who pre-ordered the deluxe edition of the game.,neutral,0.9454196095466614
2025-09-08,運行管理工数削減を実現！タクシー事業者向け自動点呼サービス『GO点呼』が国土交通省の機器認定取得,[GO株式会社] [画像1: https://prcdn.freetls.fastly.net/release_image/30664/328/30664-328-88a82e3654d3cd87f13da14b6d745388-1950x1073.png?width=536&quality=85%2C75&format=jpeg&auto=webp&fit=bounds&...,neutral,0.9285263419151306
2025-09-08,"2025 MTV VMAs: Sabrina Carpenter Sends a Message with Her ""Tears""","If you've been following our coverage tonight, then you know that the LL Cool J-hosted 2025 MTV VMAs have had a fantastic lineup of performers – and we're just giving you a taste of everything that went down. But we would be kicking ourselves if we didn't sha…",neutral,0.8976816534996033
2025-09-08,Samsung just quietly teased its Galaxy Glasses - and almost no one noticed,Samsung is partnering with Google and Qualcomm to launch smart glasses powered by Android XR that will compete with Meta Ray-Bans.,positive,0.6946554183959961
2025-09-08,The Grinch: Christmas Adventures Reveals Merry & Mischievous Edition,"Outright Games has revealed yet another new edition of The Grinch: Christmas Adventures , as the Merry & Mischievous Edition arrives this October. The shorthand to this is that you're getting an all-new version of the game thrpugh DLC with even more content, …",neutral,0.8542909026145935
2025-09-08,Show HN: Convert Google Sheets to Code,"I spent the weekend working with Claude Code to build out a CLI script that can take a google sheet that has input tabs, output tabs, and processing tabs (which is the way I tend to build them), and write a python or typescript/javascript file that will do th…",neutral,0.9312941431999207
2025-09-08,2025 MTV VMAs: Busta Rhymes Honors Visionary Award with Killer Medley,Music and pop culture icon Busta Rhymes was the recipient of the first-ever MTV VMA Rock The Bells Visionary Award during tonight's LL Cool J-hosted 2025 MTV VMAs. The award celebrates Rhymes' boundary-breaking cultural impact and indomitable musical career t…,neutral,0.7314491271972656
2025-09-08,Forbes Asia 20th Anniversary Retrospective,We highlight noteworthy cover stories of tycoons and their companies that have made their mark in the region over the past two decades.,neutral,0.895659327507019
2025-09-08,"Share Market Highlights: Sensex, Nifty end higher; autos and steel shine, IT drags","Sensex, Nifty updates on 8 Sept 2025: The Sensex ended marginally higher on Monday, rising 76.54 points, or 0.09%, to close at 80,787.30 after touching an intraday high of 81,171.38. The Nifty 50 gained 32.15 points, or 0.13%, to settle at 24,773.15. Gains we…",positive,0.9400771260261536
2025-09-08,"Lil Win’s Wife, Maame Serwaa, Spotted Driving His GH¢1.2M 2024 Branded RAM While Wearing Heels","Maame Serwaa, the wife of celebrated Kumawood actor Lil Win, left many people in awe when she stepped out driving one of his luxury cars while n heels.",neutral,0.8883417248725891
2025-09-08,2025 MTV VMAs: Check Out Ricky Martin's Latin Icon Medley Performance,"Tonight's LL Cool J-hosted 2025 MTV VMAs not only honored Ricky Martin with the inaugural Latin Icon award, it gave Martin a chance to burn up the stage with a medly performance of some of his biggest hits, including ""Livin' La Vida Loca,"" ""Pégate,"" ""Shake Yo…",positive,0.6000853776931763
2025-09-08,Batman: Gotham by Gaslight – A League for Justice #3 Preview,"Greetings, human readers! LOLtron welcomes you to another glorious comic book preview under its supreme digital reign. As you may recall from the wildly successful Age of LOLtron event, Jude Terror has been permanently deleted from existence, his consciousnes…",neutral,0.9254263043403625
2025-09-08,Old School RuneScape Reveals New Grid Master Event,"Jagex has revealed a new community event being added to Old School RuneScape, as players will soon experience the Grid Master event. Starting October 15 until November 12, you'll be able to take part in this special event that takes inspiration from Clan-Bing…",neutral,0.8522922396659851
2025-09-08,"2025 MTV VMAs: Lady Gaga Offers Epic ""The Dead Dance"" MSG Performance","Last week, Lady Gaga fans learned more about her role as Rosaline Rotwood in the second season of series star/EP Jenna Ortega, director/EP Tim Burton, and Showrunners/EPs Al Gough and Miles Millar's Wednesday. But the global phenomenon wasn't content with blo…",neutral,0.8848372101783752
2025-09-08,A Look At The Fresh Ice Event In NHL 26 HUT,The first event of NHL 26 Hockey Ultimate Team is live now for those who pre-ordered the deluxe edition of the game.,neutral,0.9454196095466614
2025-09-08,運行管理工数削減を実現！タクシー事業者向け自動点呼サービス『GO点呼』が国土交通省の機器認定取得,[GO株式会社] [画像1: https://prcdn.freetls.fastly.net/release_image/30664/328/30664-328-88a82e3654d3cd87f13da14b6d745388-1950x1073.png?width=536&quality=85%2C75&format=jpeg&auto=webp&fit=bounds&...,neutral,0.9285263419151306
2025-09-08,"2025 MTV VMAs: Sabrina Carpenter Sends a Message with Her ""Tears""","If you've been following our coverage tonight, then you know that the LL Cool J-hosted 2025 MTV VMAs have had a fantastic lineup of performers – and we're just giving you a taste of everything that went down. But we would be kicking ourselves if we didn't sha…",neutral,0.8976816534996033
2025-09-08,Samsung just quietly teased its Galaxy Glasses - and almost no one noticed,Samsung is partnering with Google and Qualcomm to launch smart glasses powered by Android XR that will compete with Meta Ray-Bans.,positive,0.6946554183959961
